Ref;SP ;FEEDING;CP;MASS;STDERR_MASS;ORDER;FAMILY
1;Aporcelaimellus spp;5;5;9,6337;1,4555;Dorylaimida;Aporcelaimidae
2;Aporcelaimellus cf. amylovorus;5;5;9,6337;1,4555;Dorylaimida;Aporcelaimidae
3;Aporcelaimellus obtusicaudatus;5;5;9,6337;1,4555;Dorylaimida;Aporcelaimidae
4;Aporcelaimellus (macrop.);5;5;9,6337;1,4555;Dorylaimida;Aporcelaimidae
5;Basirotyleptus cf. ethiopicus;2;4;0,2125;0,0263;Dorylaimida;Leptonchidae
6;Chitwoodiellus parafuscus;2;4;0,9295;0,0423;Dorylaimida;Tylencholaimidae
7;Chrysonema limigenus;8;4;1,4284;0,4734;Dorylaimida;Crateronematidae
8;Clavicaudoides clavicaudatus;5;5;0,3511;0,0004;Dorylaimida;Nygolaimidae
9;Diphtherophora cf. obesa;2;3;0,5039;0,0852;Triplonchida;Diphtherophoridae
10;Dorylaimellus sp.;1;5;0,3034;0,0596;Dorylaimida;Dorylaimellidae
11;Dorylaimoides limnophilus;8;4;1,1164;0,0969;Dorylaimida;Mydonomidae
12;Dorylaimus asymphydorus;8;4;42,7653;7,9522;Dorylaimida;Mydonomidae
13;Dorylaimus stagnalis;8;4;42,7653;7,9522;Dorylaimida;Mydonomidae
14;Dorylaimus sp. (Muy largo);8;4;42,7653;7,9522;Dorylaimida;Mydonomidae
15;Doryllium (gracile);2;4;0,236;0,0357;Dorylaimida;Leptonchidae
16;Enchodelus morgensis;8;4;3,6802;0,2592;Dorylaimida;Nordiidae
17;Enchodelus saxifragae;8;4;3,6802;0,2592;Dorylaimida;Nordiidae
18;Enchodorus sp.;8;4;2,2952;0,1708;Dorylaimida;Nordiidae
19;Epidorylaimus  consobrinus;8;4;1,8919;0,3862;Dorylaimida;Qudsianematidae
20;Eudorylaimus bombilectus;5;4;3,1855;0,2718;Dorylaimida;Qudsianematidae
21;Eudorylaimus subdigitalis;5;4;3,1855;0,2718;Dorylaimida;Qudsianematidae
22;Laimydorus pseudostagnalis;8;4;4,269;0,6218;Dorylaimida;Dorylaimidae
23;Longidorella cf. tredecima;1;4;0,595;0,1041;Dorylaimida;"	Nordiidae"
24;Longidorus sp.;1;5;16,2193;1,7087;Dorylaimida;Longidoridae
25;Mesodorylaimus aberrans;8;4;1,2813;0,0853;Dorylaimida;Dorylaimidae
26;Mesodorylaimus cf. aegypticus;8;4;1,2813;0,0853;Dorylaimida;Dorylaimidae
27;Mesodorylaimus cf. litoralis;8;4;1,2813;0,0853;Dorylaimida;Dorylaimidae
28;Mesodorylaimus ibericus;8;4;1,2813;0,0853;Dorylaimida;Dorylaimidae
29;Mesodorylaimus ornativulvatus;8;4;1,2813;0,0853;Dorylaimida;Dorylaimidae
30;Mesodorylaimus potus;8;4;1,2813;0,0853;Dorylaimida;Dorylaimidae
31;Mesodorylaimus cf. procerus;8;4;1,2813;0,0853;Dorylaimida;Dorylaimidae
32;Mesodorylaimus recurvus;8;4;1,2813;0,0853;Dorylaimida;Dorylaimidae
33;Mesodorylaimus sp.;8;4;1,2813;0,0853;Dorylaimida;Dorylaimidae
